<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.12.15	04:15:00	1.17846	1.17867	1.17827	1.17830	319	0	20
2017.12.15	04:30:00	1.17829	1.17841	1.17808	1.17815	396	0	20
2017.12.15	04:45:00	1.17815	1.17827	1.17797	1.17803	234	0	20
2017.12.15	05:00:00	1.17808	1.17826	1.17799	1.17805	188	0	20
2017.12.15	05:15:00	1.17805	1.17819	1.17788	1.17808	314	0	20
2017.12.15	05:30:00	1.17809	1.17827	1.17807	1.17819	228	0	20
2017.12.15	05:45:00	1.17818	1.17833	1.17818	1.17830	163	0	20
2017.12.15	06:00:00	1.17830	1.17830	1.17803	1.17806	253	0	21
2017.12.15	06:15:00	1.17803	1.17812	1.17776	1.17783	196	0	22
2017.12.15	06:30:00	1.17783	1.17818	1.17781	1.17817	239	0	20
2017.12.15	06:45:00	1.17818	1.17832	1.17807	1.17827	200	0	21
2017.12.15	07:00:00	1.17827	1.17847	1.17817	1.17820	201	0	22
2017.12.15	07:15:00	1.17818	1.17837	1.17807	1.17829	204	0	21
2017.12.15	07:30:00	1.17827	1.17852	1.17807	1.17836	316	0	19
2017.12.15	07:45:00	1.17836	1.17847	1.17820	1.17835	274	0	20
2017.12.15	08:00:00	1.17835	1.17850	1.17798	1.17846	333	0	21
2017.12.15	08:15:00	1.17847	1.17874	1.17841	1.17846	490	0	19
2017.12.15	08:30:00	1.17847	1.17963	1.17847	1.17952	807	0	19
2017.12.15	08:45:00	1.17951	1.17951	1.17905	1.17910	732	0	19
2017.12.15	09:00:00	1.17908	1.17936	1.17841	1.17846	1066	0	18
2017.12.15	09:15:00	1.17844	1.17878	1.17836	1.17875	939	0	18
2017.12.15	09:30:00	1.17873	1.17917	1.17806	1.17898	865	0	18
2017.12.15	09:45:00	1.17893	1.17918	1.17810	1.17824	738	0	19
2017.12.15	10:00:00	1.17825	1.17852	1.17783	1.17835	995	0	18
2017.12.15	10:15:00	1.17835	1.17888	1.17817	1.17878	714	0	19
2017.12.15	10:30:00	1.17878	1.17945	1.17878	1.17938	800	0	19
2017.12.15	10:45:00	1.17937	1.17976	1.17920	1.17961	732	0	19
2017.12.15	11:00:00	1.17959	1.17983	1.17940	1.17965	566	0	19
2017.12.15	11:15:00	1.17963	1.18025	1.17934	1.17999	795	0	18
2017.12.15	11:30:00	1.17996	1.18041	1.17975	1.17996	875	0	19
2017.12.15	11:45:00	1.17997	1.18063	1.17964	1.18046	826	0	18
2017.12.15	12:00:00	1.18046	1.18113	1.18035	1.18037	1015	0	18
2017.12.15	12:15:00	1.18039	1.18044	1.17993	1.18005	686	0	18
2017.12.15	12:30:00	1.18007	1.18049	1.18003	1.18023	683	0	18
2017.12.15	12:45:00	1.18024	1.18029	1.17958	1.17979	623	0	19
2017.12.15	13:00:00	1.17980	1.18000	1.17942	1.17951	591	0	18
2017.12.15	13:15:00	1.17955	1.18000	1.17942	1.17948	728	0	18
2017.12.15	13:30:00	1.17948	1.17979	1.17900	1.17944	855	0	19
2017.12.15	13:45:00	1.17942	1.18007	1.17918	1.18006	738	0	18
2017.12.15	14:00:00	1.18019	1.18078	1.18003	1.18043	906	0	18
2017.12.15	14:15:00	1.18044	1.18081	1.18003	1.18009	884	0	18
2017.12.15	14:30:00	1.18006	1.18086	1.17999	1.18008	1424	0	18
2017.12.15	14:45:00	1.18009	1.18019	1.17924	1.17985	1388	0	18
2017.12.15	15:00:00	1.17983	1.17992	1.17884	1.17927	1170	0	18
2017.12.15	15:15:00	1.17926	1.17952	1.17800	1.17829	1531	0	18
2017.12.15	15:30:00	1.17827	1.17866	1.17766	1.17790	1331	0	18
2017.12.15	15:45:00	1.17789	1.17789	1.17705	1.17765	1537	0	18
2017.12.15	16:00:00	1.17766	1.17819	1.17720	1.17789	1243	0	18
2017.12.15	16:15:00	1.17786	1.17790	1.17673	1.17744	1523	0	18
2017.12.15	16:30:00	1.17745	1.17804	1.17735	1.17782	1444	0	18
2017.12.15	16:45:00	1.17783	1.17786	1.17609	1.17626	1940	0	18
2017.12.15	17:00:00	1.17630	1.17693	1.17596	1.17681	1504	0	18
2017.12.15	17:15:00	1.17678	1.17705	1.17639	1.17684	963	0	18
2017.12.15	17:30:00	1.17683	1.17708	1.17615	1.17667	981	0	19
2017.12.15	17:45:00	1.17666	1.17783	1.17647	1.17768	1053	0	18
2017.12.15	18:00:00	1.17766	1.17810	1.17744	1.17745	812	0	18
2017.12.15	18:15:00	1.17749	1.17755	1.17705	1.17751	681	0	20
2017.12.15	18:30:00	1.17749	1.17778	1.17719	1.17727	722	0	19
2017.12.15	18:45:00	1.17725	1.17778	1.17622	1.17643	828	0	19
2017.12.15	19:00:00	1.17643	1.17647	1.17600	1.17629	614	0	19
2017.12.15	19:15:00	1.17627	1.17629	1.17551	1.17571	737	0	19
2017.12.15	19:30:00	1.17569	1.17591	1.17522	1.17525	631	0	19
2017.12.15	19:45:00	1.17524	1.17555	1.17494	1.17541	561	0	20
2017.12.15	20:00:00	1.17539	1.17574	1.17532	1.17561	602	0	20
2017.12.15	20:15:00	1.17561	1.17583	1.17528	1.17534	553	0	19
2017.12.15	20:30:00	1.17537	1.17583	1.17534	1.17581	372	0	19
2017.12.15	20:45:00	1.17583	1.17598	1.17554	1.17561	580	0	19
2017.12.15	21:00:00	1.17561	1.17581	1.17542	1.17573	558	0	20
2017.12.15	21:15:00	1.17572	1.17586	1.17551	1.17586	550	0	20
2017.12.15	21:30:00	1.17583	1.17585	1.17536	1.17547	480	0	20
2017.12.15	21:45:00	1.17552	1.17558	1.17528	1.17531	649	0	19
2017.12.15	22:00:00	1.17534	1.17551	1.17522	1.17541	327	0	20
2017.12.15	22:15:00	1.17542	1.17548	1.17534	1.17542	210	0	20
2017.12.15	22:30:00	1.17542	1.17553	1.17525	1.17544	338	0	20
2017.12.15	22:45:00	1.17539	1.17542	1.17477	1.17490	709	0	41
2017.12.17	23:00:00	1.17414	1.17473	1.17393	1.17453	141	0	53
2017.12.17	23:15:00	1.17454	1.17464	1.17406	1.17447	558	0	41
2017.12.17	23:30:00	1.17453	1.17457	1.17366	1.17368	359	0	33
2017.12.17	23:45:00	1.17373	1.17477	1.17373	1.17444	343	0	47
2017.12.18	00:00:00	1.17447	1.17471	1.17437	1.17454	349	0	28
2017.12.18	00:15:00	1.17453	1.17495	1.17452	1.17469	402	0	26
2017.12.18	00:30:00	1.17469	1.17469	1.17399	1.17400	495	0	22
2017.12.18	00:45:00	1.17398	1.17429	1.17397	1.17424	323	0	20
2017.12.18	01:00:00	1.17424	1.17459	1.17410	1.17427	643	0	20
