Licenciatura,1ero,Promedio,2do,3ero
Diseño Gráfico,9.37,8.993333333333332,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.16,8.846666666666666,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.0,7.793333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.21,9.07,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.47,5.8999999999999995,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.86,8.5,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.63,9.043333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.11,6.703333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.28,3.3266666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,0.0,0.0,6.2967032967032965,5.827252747252747
Diseño Gráfico,4.9,1.6333333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.4,8.703333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.09,4.3133333333333335,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.47,2.4899999999999998,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.86,8.546666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.74,5.246666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,6.64,5.426666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.4,4.8,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.4,7.416666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.0,8.973333333333334,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.8,8.6,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.47,7.37,6.2967032967032965,5.827252747252747
Diseño Gráfico,8.8,7.79,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.42,7.233333333333333,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.15,6.596666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.7,7.8999999999999995,6.2967032967032965,5.827252747252747
Diseño Gráfico,7.05,6.916666666666667,6.2967032967032965,5.827252747252747
Diseño Gráfico,9.33,9.083333333333334,6.2967032967032965,5.827252747252747
